To,Location,I/O Standard
CLOCK_50,PIN_P11,3.3-V LVTTL
KEY0,PIN_B8,3.3 V Schmitt Trigger
KEY1,PIN_A7,3.3-V LVTTL
KEY2,PIN_C10,3.3-V LVTTL
HEX0[0],PIN_C14,3.3-V LVTTL
HEX0[1],PIN_E15,3.3-V LVTTL
HEX0[2],PIN_C15,3.3-V LVTTL
HEX0[3],PIN_C16,3.3-V LVTTL
HEX0[4],PIN_E16,3.3-V LVTTL
HEX0[5],PIN_D17,3.3-V LVTTL
HEX0[6],PIN_C17,3.3-V LVTTL
HEX0[7],PIN_D15,3.3-V LVTTL
HEX1[0],PIN_C18,3.3-V LVTTL
HEX1[1],PIN_D18,3.3-V LVTTL
HEX1[2],PIN_E18,3.3-V LVTTL
HEX1[3],PIN_B16,3.3-V LVTTL
HEX1[4],PIN_A17,3.3-V LVTTL
HEX1[5],PIN_A18,3.3-V LVTTL
HEX1[6],PIN_B17,3.3-V LVTTL
HEX1[7],PIN_A16,3.3-V LVTTL
HEX2[0],PIN_B20,3.3-V LVTTL
HEX2[1],PIN_A20,3.3-V LVTTL
HEX2[2],PIN_B19,3.3-V LVTTL
HEX2[3],PIN_A21,3.3-V LVTTL
HEX2[4],PIN_B21,3.3-V LVTTL
HEX2[5],PIN_C22,3.3-V LVTTL
HEX2[6],PIN_B22,3.3-V LVTTL
HEX2[7],PIN_A19,3.3-V LVTTL
HEX3[0],PIN_F21,3.3-V LVTTL
HEX3[1],PIN_E22,3.3-V LVTTL
HEX3[2],PIN_E21,3.3-V LVTTL
HEX3[3],PIN_C19,3.3-V LVTTL
HEX3[4],PIN_C20,3.3-V LVTTL
HEX3[5],PIN_D19,3.3-V LVTTL
HEX3[6],PIN_E17,3.3-V LVTTL
HEX3[7],PIN_D22,3.3-V LVTTL
HEX4[0],PIN_F18,3.3-V LVTTL
HEX4[1],PIN_E20,3.3-V LVTTL
HEX4[2],PIN_E19,3.3-V LVTTL
HEX4[3],PIN_J18,3.3-V LVTTL
HEX4[4],PIN_H19,3.3-V LVTTL
HEX4[5],PIN_F19,3.3-V LVTTL
HEX4[6],PIN_F20,3.3-V LVTTL
HEX4[7],PIN_F17,3.3-V LVTTL
HEX5[0],PIN_J20,3.3-V LVTTL
HEX5[1],PIN_K20,3.3-V LVTTL
HEX5[2],PIN_L18,3.3-V LVTTL
HEX5[3],PIN_N18,3.3-V LVTTL
HEX5[4],PIN_M20,3.3-V LVTTL
HEX5[5],PIN_N19,3.3-V LVTTL
HEX5[6],PIN_N20,3.3-V LVTTL
HEX5[7],PIN_L19,3.3-V LVTTL
